'li'tiao 丽调
'li'zhong'kang'tiao 李仲康调
'lian'yin 炼印
'liang'zhu 梁祝
'lin'chong 林冲
'lin'chong'ta'xue 林冲踏雪
'ling'ling'tiao 令令调
'ling'wen'jun 凌文君
'liu'feng 留凤
'liu'fu 刘福
'liu'jiang'jun 刘将军
'liu'meng'mei'shi'hua 柳梦梅拾画
'liu'min 刘敏
'liu'shi'nian'dai'di'yi'chun 六十年代第一春
'liu'yun'ruo 刘韵若
'long'tang'shu 弄堂书
'lou'tai'hui 楼台会
'lu'jia'qi 陆佳麒
'lu'wei'qing'qing 芦苇青青
'lu'yan'hua 陆雁华
'lu'yao'liang 陆耀良
'lu'yue'e 陆月娥
'luan'ji'ti 乱鸡啼
'luo'han'qian 罗汉钱
'luo'jin'shan 落金扇
'luo'xiang'yi 罗湘漪
'lv'mu'dan 绿牡丹
'ma'jin'qian 骂金钱
'ma'tiao 马调
'mai'guan'zi 卖关子
'mei'hua'meng 梅花梦
'mei'zhu 梅竹
'meng'jiao'ku'ta 梦蛟哭塔
'meng'li'jun 孟丽君
'mi'gong'ming 迷功名
'mian'shi'wen'zhang 面试文章
'miao'jin'feng 描金凤
'min'sheng 民生
'ming'zhu'an 明珠案
'na'mo'tiao 南无调
'nao'jian 闹柬
'nao'yan'fu 闹严府
'ni'ping'qian 倪萍倩
'nu'peng'liang'chuan 怒碰粮船
'nv'cheng'xiang 女丞相
'nv'ku'chen'xiang 女哭沉香
'nv'li'hen'tian 女离恨天
'pan'wen'yin 潘闻荫
'pan'zu'qiang 潘祖强
'pang'xue'qing 庞学卿
'pang'xue'ting 庞学庭
'pao'tou'zi'shou 抛头自首
'peng'gong'an 彭公案
'pi'pa'ji 琵琶记
'pian'shang'yuan'men 骗上辕门
'piao'you 票友
'ping'bo 评博
'ping'tan 评弹
'po'yao'gao'zhuang 破窑告状
'qi'shi'er'ta 七十二他
'qi'tiao 祁调
'qi'xia'wu'yi 七侠五义
'qian'du'tiao 钱厾笤
'qian'du'tiao'qiu'yu 钱厾笤求雨
'qian'jiang 扦讲
'qian'jin'zhang 钱锦章
'qian'long'xia'jiang'nan 乾隆下江南
'qian'yu'cui 钱玉翠
'qiang'jiu'san'niang 抢救三娘
'qin'diao 琴调
'qin'gong'yue 秦宫月
'qin'jian'guo 秦建国
'qin'xiang'lian 秦香莲
'qing'chun'zhi'ge 青春之歌
'qing'dai'san'xia 清代三侠
'qing'tan 情探
'qing'wen 晴雯
'qing'wen'bu'qiu 晴雯补裘
'qing'yan 请宴
'qiu'hai'tang 秋海棠
'qiu'zhu 秋珠
'rao'yi'chen 饶一尘
'rou'duan'shu 肉段书
'rou'li'jue 肉里噱
'san'ge'dang 三个档
'san'ge'shi'wei'guan 三个侍卫官
'san'lei'shu 三类书
'san'shi'tai 三师太
'san'shi'yan'ren'min 三试颜仁敏
'san'xiao 三笑
'san'yue'mu'dan'ting 三约牡丹亭
'san'zhan'yang'hu 三斩杨虎
'shan'dong'ma'yong'zhen 山东马永贞
'shan'ge 山歌
'shang'gong'hua 赏宫花
'shang'hai'shao'nai'nai 上海少奶奶
'shang'hai'tuan 上海团
'shang'hu 上呼
'shang'shou 上手
'shang'zhong'qiu 赏中秋
'shen'da'niang 沈大娘
'shen'dan'zi 神弹子
'shen'fang 沈方
'shen'fang'ku'geng 沈方哭更
'shen'feng'xi 沈凤喜
'shen'gui'sheng 申贵升
'shen'jun'qing 沈君卿
'shen'san'xuan 沈三玄
'shen'shi'hua 沈世华
'shen'shi'san'niang 沈氏三娘
'shen'tiao 沈调
'shen'wei'chen 沈伟辰
'shen'wei'ying 沈伟英
'shen'yuan'zai 申元宰
'sheng'xiao'yun 盛小云
'shi'bai'yu'hua'long 十败余化龙
'shi'er'jin'qian'biao 十二金钱镖
'shi'hua 拾画
'shi'jian'na'ge'mei'niang'qin 世间哪个没娘亲
'shi'li'gu'niang 势利姑娘
'shi'mei'tu 十美图
'shi'wen'lei 石文磊
'shi'wu'guan 十五贯
'shi'ya'jun 施雅君
'shou'tang'chang'qu 寿堂唱曲
'shou'tuo'qian'jin'zha 手托千斤闸
'shu'chang 书场
'shu'tai 书台
'shu'xi 书戏
'shu'ying'ye'si 淑英夜思
'shu'zhong'zhi'dan 书中之胆
'shua'hai'er 耍孩儿
'shuang'an'yuan 双按院
'shuang'dang 双档
'shuang'jin'ding 双金锭
'shuang'zhu'feng 双珠凤
'shuang'zhu'qiu 双珠球
'shuo'biao 说表
'shuo'gong'shu 说功书
'shuo'shu 说书
'si'diao 私吊
