'pi'fu'sao'zhua'zheng 皮肤搔抓症
'pian'zhi'xing'ren'ge'zhang'ai 偏执型人格障碍
'pin'xing'zhang'ai 品行障碍
'po'huai'xing'xing'wei'huo'qu'she'hui'zhang'ai 破坏性行为或去社会障碍
'qi'dao'zheng'ya'tong'qi 气道正压通气
'qian'zai'chuang'shang'xing'shi'jian 潜在创伤性事件
'qiang'po 强迫
'qiang'po'dong'zuo 强迫动作
'qiang'po'si'wei 强迫思维
'qiang'po'xing'ren'ge'zhang'ai 强迫型人格障碍
'qiang'po'xing'wei 强迫行为
'qiang'po'xing'xing'xing'wei'zhang'ai 强迫性性行为障碍
'qiang'po'zheng 强迫症
'qiang'po'zheng'ji'xiang'guan'zhang'ai 强迫症及相关障碍
'qiang'zhi'xing'si'wei 强制性思维
'qing'du'shen'jing'ren'zhi'zhang'ai 轻度神经认知障碍
'qing'gan'dan'mo 情感淡漠
'qing'gan'dao'cuo 情感倒错
'qing'gan'di'luo 情感低落
'qing'gan'gao'zhang 情感高涨
'qing'gan'mao'dun 情感矛盾
'qing'xu'bu'wen 情绪不稳
'qing'zao'kuang 轻躁狂
'qu'she'hui 去社会
'qu'she'hui'pin'xing'zhang'ai 去社会品行障碍
'qu'ti'bian'xing'zhang'ai 躯体变形障碍
'ren'ge 人格
'ren'ge'jie'ti'xian'shi'jie'ti'zhang'ai 人格解体现实解体障碍
'ren'ge'kun'nan 人格困难
'ren'ge'te'zhi 人格特质
'ren'ge'te'zhi'fan'chou 人格特质范畴
'ren'ge'zhang'ai 人格障碍
'ren'ji'xin'li'liao'fa 人际心理疗法
'ren'zhi'xing'wei'liao'fa 认知行为疗法
'ru'shui'qian'huan'jue 入睡前幻觉
'she'jiao'jiao'lv'zhang'ai 社交焦虑障碍
'shen'jing'fa'yu'li'lun 神经发育理论
'shen'jing'fa'yu'zhang'ai 神经发育障碍
'shen'jing'ren'zhi'zhang'ai 神经认知障碍
'shen'jing'xing'tan'shi 神经性贪食
'shen'jing'xing'yan'shi 神经性厌食
'shen'jing'xing'yan'shi'ban'wei'xian'di'ti'zhong 神经性厌食伴危险低体重
'shen'jing'xing'yan'shi'ban'xian'zhu'di'ti'zhong 神经性厌食伴显著低体重
'shen'jing'xing'yan'shi'hui'fu'qi'ban'zheng'chang'ti'zhong 神经性厌食恢复期伴正常体重
'shen'ti'wan'zheng'xing'fan'nao 身体完整性烦恼
'shi'mian'zhang'ai 失眠障碍
'shi'shui 嗜睡
'shi'shui'zhang'ai 嗜睡障碍
'shi'wu'bian'xing'zheng 视物变形症
'shi'ying'zhang'ai 适应障碍
'shuang'xiang'zhang'ai 双相障碍
'shui'mian'jue'xing'zhou'ye'jie'lv'zhang'ai 睡眠觉醒昼夜节律障碍
'shui'mian'xiang'guan'hu'xi'zhang'ai 睡眠相关呼吸障碍
'shun'xing'xing'yi'wang 顺行性遗忘
'si'wei'bei'duo 思维被夺
'si'wei'ben'yi 思维奔逸
'si'wei'bu'lian'guan 思维不连贯
'si'wei'cha'ru 思维插入
'si'wei'chi'huan 思维迟缓
'si'wei'hua'sheng 思维化声
'si'wei'pin'fa 思维贫乏
'si'wei'po'lie 思维破裂
'si'wei'san'man 思维散漫
'si'wei'zhong'duan 思维中断
'tong'yang'chi'dai 童样痴呆
'tou'qie'kuang 偷窃狂
'tu'chu'de'ren'ge'te'zhi'huo'mo'shi 突出的人格特质或模式
'tun'ji'zhang'ai 囤积障碍
'tuo'mo'xi'ting 托莫西汀
'tuo'yi'zhi 脱抑制
'tuo'yi'zhi'xing'she'hui'can'yu'zhang'ai 脱抑制性社会参与障碍
'wei'ao'zheng 违拗症
'wei'chan'qi'chuang'shang'hou'ying'ji'zhang'ai 围产期创伤后应激障碍
'wei'chan'qi'guang'fan'xing'jiao'lv'zhang'ai 围产期广泛性焦虑障碍
'wei'chan'qi'ji'bing'jiao'lv'zhang'ai 围产期疾病焦虑障碍
'wei'chan'qi'jiao'lv'zhang'ai 围产期焦虑障碍
'wei'chan'qi'jing'kong'zhang'ai 围产期惊恐障碍
'wei'chan'qi'qiang'po'zheng 围产期强迫症
'wei'chan'qi'qing'xu'he'jiao'lv'zhang'ai 围产期情绪和焦虑障碍
'wei'chan'qi'shuang'xiang'zhang'ai 围产期双相障碍
'wei'chan'qi'yi'yu'fa'zuo 围产期抑郁发作
'wei'chan'qi'yi'yu'zhang'ai 围产期抑郁障碍
'wei'ji 危机
'wei'ji'gan'yu 危机干预
'wei'shi'cheng'ren'zhi'li'liang'biao 韦氏成人智力量表
'wu'li'ying'xiang'wang'xiang 物理影响妄想
'xi'tong'xing'wang'xiang 系统性妄想
'xia'qiu'nao'chui'ti'shen'shang'xian 下丘脑垂体肾上腺
'xian'shi'jie'ti 现实解体
'xiang'zheng'xing'si'wei 象征性思维
'xie'tiao'xing'jing'shen'yun'dong'xing'xing'fen 协调性精神运动性兴奋
'xin'kuai 欣快
'xin'lv'bian'yi'xing 心率变异性
'xin'yin'xing'huan'jue 心因性幻觉
'xing'xin'li'zhang'ai 性心理障碍
'xiu'jue'qian'lian'zhang'ai 嗅觉牵连障碍
'xu'gou 虚构
'xu'wu'wang'xiang 虚无妄想
'xue'guan'xing'chi'dai 血管性痴呆
'yan'chang'ai'shang'zhang'ai 延长哀伤障碍
'yang'xing'he'yin'xing'jing'shen'zheng'zhuang'ping'ding'liang'biao 阳性和阴性精神症状评定量表
'yi'bing'wang'xiang 疑病妄想
'yi'bing'zheng 疑病症
'yi'chuan'du 遗传度
'yi'fen'zheng 遗粪症
'yi'ji're 易激惹
'yi'lai'xing'ren'ge'zhang'ai 依赖型人格障碍
'yi'nian'piao'hu 意念飘忽
'yi'niao'zheng 遗尿症
'yi'shi'pi 异食癖
'yi'tai'shui'mian'zhang'ai 异态睡眠障碍
'yi'wang 遗忘
'yi'wang'zhang'ai 遗忘障碍
'yi'wang'zong'he'zheng 遗忘综合征
'yi'yu'fa'zuo 抑郁发作
'yi'yu'zhang'ai 抑郁障碍
'yi'yu'zong'he'zheng 抑郁综合征
'yi'zhi 意志
'yi'zhi'jian'tui 意志减退
'yi'zhi'que'shi 意志缺失
'yi'zhi'zeng'qiang 意志增强
'ying'ji'yuan 应激源
'you'li'xing'jiao'lv 游离性焦虑
'yu'ci'xin'zuo 语词新作
'yu'ci'za'ban 语词杂拌
'yuan'fa'xing'wang'xiang 原发性妄想
'yue'du'zhang'ai 阅读障碍
'zao'kuang'fa'zuo 躁狂发作
'zao'kuang'ping'ding'liang'biao 躁狂评定量表
'zao'kuang'zong'he'zheng 躁狂综合征
'zhan'wang 谵妄
'zhen'xing'huan'jue 真性幻觉
'zhi'jue 知觉
'zhi'li'can'ji 智力残疾
'zhi'li'fa'yu'zhang'ai 智力发育障碍
'zhi'liao'ban'fa'zheng'zhuang'liang'biao 治疗伴发症状量表
'zhi'neng 智能
'zhong'qing'wang'xiang 钟情妄想
'zhu'yi'huan'san 注意涣散
'zhu'yi'jian'tui 注意减退
'zhu'yi'xia'zhai 注意狭窄
'zhu'yi'zeng'qiang 注意增强
'zhu'yi'zhuan'yi 注意转移
'zhuang'xiang 装相
'zi'zhi'li 自知力
'zong'huo'kuang 纵火狂
'zu'se'xing'shui'mian'hu'xi'zan'ting 阻塞性睡眠呼吸暂停
'zui'e'wang'xiang 罪恶妄想
