'tou'zhe'jing'ming'zhi'fu 头者精明之府
'wan'wu'zhi'gang'ji 万物之纲纪
'wei'zhe'ni'zhi'shen'zhe'cong'zhi 微者逆之甚者从之
'xi'ze'qi'huan 喜则气缓
'xi'zhe'jin'zhi'fu 膝者筋之府
'xia'jiao'ru'du 下焦如渎
'xing'bu'zu'zhe'wen'zhi'yi'qi 形不足者温之以气
'xue'shi'yi'jue'zhi 血实宜决之
'yang'qi'zhe'da'nu'ze'xing'qi'jue 阳气者大怒则形气绝
'yang'qi'zhe'fan'lao'ze'zhang'jing'jue 阳气者烦劳则张精绝
'yang'qi'zhe'jing'ze'yang'shen'rou'ze'yang'jin 阳气者精则养神柔则养筋
'yang'zai'wai'yin'zhi'shi'ye 阳在外阴之使也
'yang'zhe'wei'wai'er'wei'gu'ye 阳者卫外而为固也
'yao'zhe'shen'zhi'fu 腰者肾之府
'yin'ping'yang'mi'jing'shen'nai'zhi 阴平阳秘精神乃治
'yin'qi'shuai'er'zhang'zhi 因其衰而彰之
'yin'qi'zhe'jing'ze'shen'cang 阴气者静则深藏
'yin'qi'zhong'er'jian'zhi 因其重而减之
'yin'shi'zi'bei'chang'wei'nai'shang 饮食自倍肠胃乃伤
'yin'yang'li'jue'jing'qi'nai'jue 阴阳离决精气乃绝
'yin'yang'zhe'tian'di'zhi'dao'ye 阴阳者天地之道也
'yin'yu'shi'shou'ru'li 因于湿首如裏
'yin'zai'nei'yang'zhi'shou'ye 阴在内阳之守也
'yin'zhe'cang'jing'er'qi'ji'ye 阴者藏精而起亟也
'you'shang'yu'jin 有伤于筋
'yu'qi'shen'xing 与其身形
'zao'sheng'ze'gan 燥胜则干
'zao'ze'xiao'wang 躁则消亡
'zhen'qi'cong'zhi'jing'shen'nei'shou 真气从之精神内守
'zhi'bing'bi'qiu'yu'ben 治病必求于本
'zhong'jiao'ru'ou 中焦如沤
'zhong'man'zhe'xie'zhi'yu'nei 中满者泻之于内
'zhu'bing'you'sheng'gu'zhi'ru'gu 诸病有声鼓之如鼓
'zhu'bing'zhou'zhong'teng'suan'jing'hai 诸病胕肿疼酸惊骇
'zhu'feng'diao'xuan'jie'shu'yu'gan 诸风掉眩皆属于肝
'zhu'han'shou'yin'jie'shu'yu'shen 诸寒收引皆属于肾
'zhu'jin'gu'li'ru'sang'shen'shou 诸禁鼓栗如丧神守
'zhu'jue'gu'xie'jie'shu'yu'xia 诸厥固泄皆属于下
'zhu'ni'chong'shang 诸逆冲上
'zhu'ou'tu'suan'bao'zhu'xia'po 诸呕吐酸暴注下迫
'zhu'qi'fen'yu'jie'shu'yu'fei 诸气膹郁皆属于肺
'zhu're'mao'chi'jie'shu'yu'huo 诸热瞀瘛皆属于火
'zhu'shi'zhong'man'jie'shu'yu'pi 诸湿肿满皆属于脾
'zhu'tong'yang'chuang'jie'shu'yu'xin 诸痛痒疮皆属于心
'zhu'wei'chuan'ou'jie'shu'yu'shang 诸痿喘呕皆属于上
'zhu'zao'kuang'yue 诸躁狂越
'zhu'zhang'fu'da 诸胀腹大
'zhu'zhuan'fan'li'shui'ye'hun'zhuo 诸转反戾水液浑浊
'zhuang'huo'san'qi'shao'huo'sheng'qi 壮火散气少火生气
'zhuang'huo'shi'qi'qi'shi'shao'huo 壮火食气气食少火
'zhuang'huo'zhi'qi'shuai'shao'huo'zhi'qi'zhuang 壮火之气衰少火之气壮
'zhuo'qi'zai'shang'ze'sheng'zhang 浊气在上则生胀
'zhuo'yin'chu'xia'qiao 浊阴出下窍
'zhuo'yin'gui'liu'fu 浊阴归六腑
'zhuo'yin'zou'wu'zang 浊阴走五脏
