'kang'huai'xue'suan 抗坏血酸
'kang'huai'xue'suan'guo'yang'hua'wu'mei 抗坏血酸过氧化物酶
'kang'ni'xing 抗逆性
'kang'qing'hu'xi 抗氰呼吸
'kang're'xing 抗热性
'kang'yan'xing 抗盐性
'kang'yang'hua'ji 抗氧化剂
'kang'yang'hua'mei 抗氧化酶
'ku'qi'guan 库器官
'la'zhi 蜡质
'lan'guang'shou'ti 蓝光受体
'lei'hu'luo'bo'su 类胡萝卜素
'lei'huang'tong 类黄酮
'lei'nang'ti'mo 类囊体膜
'leng'ji'yin'zi 冷激因子
'leng'you'dao'dan'bai 冷诱导蛋白
'li'zi'tong'dao 离子通道
'lian'he'gu'dan 联合固氮
'lin'dai'xie 磷代谢
'lin'jie'ri'chang 临界日长
'lin'jie'ye'chang 临界夜长
'lin'li'yong'xiao'lv 磷利用效率
'lin'suan'hua 磷酸化
'lin'suan'hua'ji'lian 磷酸化级联
'lin'suan'wu'tang'tu'jing 磷酸戊糖途径
'lin'suan'yan'xi'shou 磷酸盐吸收
'lin'suan'yan'zhuan'yun 磷酸盐转运
'lin'zhi'dai'xie 磷脂代谢
'liu'dai'xie 硫代谢
'luan'xi'bao 卵细胞
'lv'dai'xie 氯代谢
'mei'dai'xie 镁代谢
'meng'dai'xie 锰代谢
'mi'mi'xi'bao 泌蜜细胞
'mi'xian 蜜腺
'mi'yan'xi'bao 泌盐细胞
'mo'li'suan 茉莉酸
'mu'dai'xie 钼代谢
'mu'shuan'xing'cheng'ceng 木栓形成层
'mu'zhi'bu 木质部
'mu'zhi'su 木质素
'mu'zhi'xian'wei 木质纤维
'na'dai'xie 钠代谢
'na'jia'beng 钠钾泵
'nei'zhi'wang 内质网
'nei'zhi'wang'ying'ji 内质网应激
'nian'lun 年轮
'pei'bing 胚柄
'pei'gen 胚根
'pei'nang 胚囊
'pei'ru 胚乳
'pei'tai'fa'sheng 胚胎发生
'pei'ya 胚芽
'pei'zhou 胚轴
'pei'zhu 胚珠
'pei'zi 配子
'pei'zi'ti 配子体
'peng'dai'xie 硼代谢
'qi'guan'tuo'luo 器官脱落
'qi'kong'dao'du 气孔导度
'qi'kong'kai'bi 气孔开闭
'qi'kong'qi 气孔器
'qi'kong'yun'dong 气孔运动
'qiu'cai 秋材
'qu'huang'hua 去黄化
're'ji'yin'zi 热激因子
're'xiu'ke'dan'bai 热休克蛋白
'ren'pi'bu 韧皮部
'ren'pi'bu'xie'zai 韧皮部卸载
'ren'pi'bu'zhuang'zai 韧皮部装载
'ren'pi'xian'wei 韧皮纤维
'ri'zhong'xing'zhi'wu 日中性植物
'rong'mei'ti 溶酶体
'rong'zhi'shi 溶质势
'ru'zhi 乳汁
'san'suo'suan'xun'huan 三羧酸循环
'shai'ban 筛板
'shai'guan 筛管
'shai'kong 筛孔
'shan'li'chun 山梨醇
'shen'tou'shi 渗透势
'shen'tou'tiao'jie 渗透调节
'shen'tou'tiao'jie'wu'zhi 渗透调节物质
'shen'tou'xie'po 渗透胁迫
'sheng'wu'jian 生物碱
'sheng'zhang'su 生长素
'shi'cao 食草
'shi'dai'jiao'ti 世代交替
'shi'xi'bao 石细胞
'shou'ti 受体
'shu'pi 树皮
'shu'ye 树液
'shu'zhi 树脂
'shuai'lao 衰老
'shuang'shou'jing 双受精
'shui'fen'shi 水分势
'shui'shi 水势
'shui'yang'suan 水杨酸
'ta'gan'zuo'yong 他感作用
'tan'tong'hua 碳同化
'tang'dai'xie 糖代谢
'tang'ji'hua 糖基化
'tang'jiao'jie 糖酵解
'tang'yi'sheng 糖异生
'tang'yuan'he'cheng 糖原合成
'tian'cai'jian 甜菜碱
'tie'dai'xie 铁代谢
'tie'lei'hua'he'wu 萜类化合物
'tie'si'wang 铁死亡
'tong'dai'xie 铜代谢
'tong'hua'wu'yun'shu 同化物运输
'tong'si'wang 铜死亡
'tong'xiang'yun'shu 同向运输
'tu'jing 途径
'tuo'luo'suan 脱落酸
'tuo'shui'dan'bai 脱水蛋白
'wei'guan'shu 维管束
'wei'liang'yuan'su 微量元素
'wei'zhe'die'dan'bai'fan'ying 未折叠蛋白反应
'wei'zi'shi 微自噬
'wu'tang'dai'xie 戊糖代谢
'wu'xing'fan'zhi 无性繁殖
'xi'bao'bi 细胞壁
