'dao'de'qing'cao 道德情操
'gan'yu'feng'xian 甘于奉献
'gong'geng'tai'du 躬耕态度
'hong'dao'zhui'qiu 弘道追求
'jiao'yu'jia'jing'shen 教育家精神
'le'jiao'ai'sheng 乐教爱生
'li'xiang'xin'nian 理想信念
'qi'zhi'run'xin 启智润心
'qin'xue'du'xing 勤学笃行
'qiu'shi'chuang'xin 求是创新
'ren'ai'zhi'xin 仁爱之心
'xin'you'da'wo 心有大我
'xing'wei'shi'fan 行为世范
'xiong'huai'tian'xia 胸怀天下
'yan'wei'shi'ze 言为士则
'yi'wen'hua'ren 以文化人
'yin'cai'shi'jiao 因材施教
'yu'ren'zhi'hui 育人智慧
'zhi'cheng'bao'guo 至诚报国
