'jiang'yan'fo'shou'gua 酱腌佛手瓜
'jiao'ma'tu'dou'si 椒麻土豆丝
'jiao'ma'yu'pian 椒麻鱼片
'jiao'xiang'ji'chi'gen 椒香鸡翅根
'jiao'yan'xia 椒盐虾
'jiao'zhi'sun'si 浇汁笋丝
'jie'cai'si 芥菜丝
'jie'cai'tou 芥菜头
'jie'wei'mu'er 芥味木耳
'jing'hui'cai 精烩菜
'kai'wei'fo'shou'gua 开胃佛手瓜
'kai'wei'luo'bo 开胃萝卜
'kai'wei'luo'bo'tiao 开胃萝卜条
'kai'wei'ya'zhen 开胃鸭胗
'ke'le'ji'chi'gen 可乐鸡翅根
'kou'rou'jia'mo 扣肉夹馍
'la'bai'cai 辣白菜
'lan'yan'cai 烂腌菜
'lao'hu'cai 老虎菜
'lao'tang'ji'gu 老汤脊骨
'lao'tang'zhou'zi 老汤肘子
'liang'ban'dou'fu'pi 凉拌豆腐皮
'liang'ban'hu'luo'bo'si 凉拌胡萝卜丝
'liang'ban'shuang'hua 凉拌双花
'lu'wei'pin 卤味拼
'ma'la'dou'fu 麻辣豆腐
'ma'la'xiang'guo 麻辣香锅
'ma'la'xiao'hai'xian 麻辣小海鲜
'ma'po'dou'fu 麻婆豆腐
'mao'xue'wang 毛血旺
'mei'cai'kou'rou 梅菜扣肉
'mei'cai'kou'rou'jia'mo 梅菜扣肉夹馍
'mei'cai'sun'si 梅菜笋丝
'mu'gua'si 木瓜丝
'niu'nan'dun'luo'bo 牛腩炖萝卜
'niu'nan'luo'bo 牛腩萝卜
'niu'rou'dun'luo'bo 牛肉炖萝卜
'niu'rou'luo'bo 牛肉萝卜
'niu'rou'luo'bo'tu'dou 牛肉萝卜土豆
'niu'rou'tu'dou'luo'bo 牛肉土豆萝卜
'niu'xin'cai'ban'fen'si 牛心菜拌粉丝
'nong'cun'sha'zhu'cai 农村杀猪菜
'nong'jia'hui'cai 农家烩菜
'nong'jia'lv'dou'ya 农家绿豆芽
'nong'jia'pao'cai 农家泡菜
'pa'rou'tiao 扒肉条
'pai'gu'dun'bai'luo'bo 排骨炖白萝卜
'pai'gu'dun'yu'mi'jin'gua 排骨炖玉米金瓜
'pai'gu'gou'ji 排骨勾鸡
'pai'gu'hui'suan'cai 排骨烩酸菜
'pai'gu'shao'dong'gua 排骨烧冬瓜
'pai'gu'shi'jin'hui'cai 排骨什锦烩菜
'pai'gu'tu'dou'dun'gan'qie'zi 排骨土豆炖干茄子
'pai'gu'tu'dou'dun'yu'mi 排骨土豆炖玉米
'pai'gu'tu'dou'gan'hu'lu 排骨土豆干葫芦
'pai'gu'tu'dou'jin'gua 排骨土豆金瓜
'pai'gu'tu'dou'yu'mi'jin'gua 排骨土豆玉米金瓜
'pai'gu'yu'mi'dun'jin'gua 排骨玉米炖金瓜
'pai'gu'yu'mi'tu'dou 排骨玉米土豆
'pai'huang'gua 拍黄瓜
'pai'suan'cai'xin 拍蒜菜心
'pao'bao'cai 泡包菜
'pao'cai 泡菜
'pao'huang'gua 泡黄瓜
'pao'jiao'suan'cai'ji 泡椒酸菜鸡
'pao'jiao'yu'tou 泡椒芋头
'pao'jiao'yu'tou'tiao 泡椒芋头条
'pao'niu'xin'cai 泡牛心菜
'pao'qin'cai 泡芹菜
'pao'yang'jiang 泡洋姜
'pao'yang'jiang'pian 泡洋姜片
'pao'yu'tou 泡芋头
'pao'yu'tou'tiao 泡芋头条
'pi'jiu'men'ya 啤酒焖鸭
'pi'jiu'shao'da'e 啤酒烧大鹅
'pi'jiu'shao'ya 啤酒烧鸭
'qiang'ban'bai'cai'si 炝拌白菜丝
'qiang'ban'huang'gua'tiao 炝拌黄瓜条
'qiang'ban'niu'xin'cai'si 炝拌牛心菜丝
'qiang'ban'ou'ding 炝拌藕丁
'qiang'ban'shuang'er 炝拌双耳
'qiang'ban'shui'luo'bo'si 炝拌水萝卜丝
'qiang'ban'xia'pi'wa'wa'cai 炝拌虾皮娃娃菜
'qiang'chao'dou'ya 炝炒豆芽
'qiang'chao'lv'dou'ya 炝炒绿豆芽
'qiang'chao'niu'xin'cai 炝炒牛心菜
'qiang'chao'qing'sun'si 炝炒青笋丝
'qiang'chao'sun'si 炝炒笋丝
'qiang'chao'tu'dou'si 炝炒土豆丝
'qiang'chao'xiao'bai'cai 炝炒小白菜
'qiang'yan'fo'shou'gua 炝腌佛手瓜
'qiang'yan'yu'tou'tiao 炝腌芋头条
'qin'cai'hua'sheng 芹菜花生
'qing'ban'niu'xin'cai 清拌牛心菜
'qing'luo'bo'si 青萝卜丝
'qing'sun'ban'zhou'hua 青笋拌肘花
're'cai 热菜
'rou'chao'bai'cai 肉炒白菜
'rou'chao'bai'cai'mu'er 肉炒白菜木耳
'rou'chao'dou'ya 肉炒豆芽
'rou'chao'huang'dou'ya 肉炒黄豆芽
'rou'chao'huang'luo'bo'si 肉炒黄萝卜丝
'rou'chao'jian'jiao'dou'fu'pi 肉炒尖椒豆腐皮
'rou'chao'jiao'gua 肉炒角瓜
'rou'chao'mu'er'cong'tou 肉炒木耳葱头
'rou'chao'niu'xin'cai 肉炒牛心菜
'rou'chao'qin'cai 肉炒芹菜
'rou'chao'sun'si 肉炒笋丝
'rou'chao'tu'dou'si 肉炒土豆丝
'rou'chao'xi'qin 肉炒西芹
'rou'chao'xiao'bai'cai 肉炒小白菜
'rou'gou'ji 肉勾鸡
'rou'gou'ji'kuai 肉勾鸡块
'rou'gou'ji'su'gao 肉勾鸡素糕
'rou'mo'dou'fu 肉沫豆腐
'rou'si'bai'cai 肉丝白菜
'rou'si'chao'dou'ya 肉丝炒豆芽
'rou'si'chao'huang'luo'bo'si 肉丝炒黄萝卜丝
'rou'si'chao'luo'bo'si 肉丝炒萝卜丝
'rou'si'chao'lv'dou'ya 肉丝炒绿豆芽
'rou'si'chao'qin'cai 肉丝炒芹菜
'rou'si'chao'tu'dou'si 肉丝炒土豆丝
'rou'si'dou'ya 肉丝豆芽
'rou'si'dou'ya'chao'bing 肉丝豆芽炒饼
