'ai'ye 艾叶
'se'chang'zhi'xie 涩肠止泻
'shan'zha 山楂
'shan'zhi'xia'ban'shen 善治下半身
'shan'zhu'yu 山茱萸
'shen'qu 神曲
'sheng'di'huang 生地黄
'sheng'jiang 生姜
'sheng'jin'zhi'ke 生津止渴
'sheng'ju'yang'qi 升举阳气
'sheng'yang'zhi'xie 升阳止泻
'shi'gao 石膏
'shi'jue'ming 石决明
'shou'lian'gu'se 收敛固涩
'shou'lian'zhi'xue 收敛止血
'shu'di'huang 熟地黄
'shu'gan'jie'yu 疏肝解郁
'shu'gan'xing'qi 疏肝行气
'shu'san'feng're 疏散风热
'suan'zao'ren 酸枣仁
'tao'ren 桃仁
'tian'ma 天麻
'tiao'chong'ren 调冲任
'tiao'jing 调经
'ting'li'zi 葶苈子
'tong'bi'qiao 通鼻窍
'tong'qiao 通窍
'tong'yang'san'jie 通阳散结
'tui're'chu'zheng 退热除蒸
'tui'xu're 退虚热
'tuo'du'sheng'ji 托毒生肌
'wai'yong'xiao'zhong'zhi'tong 外用消肿止痛
'wei'ling'xian 威灵仙
'wen'fei'hua'yin 温肺化饮
'wen'jing'zhi'xue 温经止血
'wen'li'yao 温里药
'wen'tong'jing'mai 温通经脉
'wen'zhong'san'han 温中散寒
'wu'jia'pi 五加皮
'wu'mei 乌梅
'wu'wei'zi 五味子
'wu'zhu'yu 吴茱萸
'xi'feng'zhi'jing 息风止痉
'xi'he'liu 西河柳
'xi'xin 细辛
'xiang'fu 香附
'xiang'ru 香薷
'xiao'chuang 消疮
'xiao'gu'geng 消骨鲠
'xiao'ji 小蓟
'xiao'pi'san'jie 消痞散结
'xiao'san'yong'zhong 消散痈肿
'xiao'shi'he'wei 消食和胃
'xiao'shi'hua'ji 消食化积
'xiao'shi'jian'wei 消食健胃
'xiao'shi'yao 消食药
'xiao'zhong'pai'nong 消肿排脓
'xie'bai 薤白
'xie'fei'ping'chuan 泻肺平喘
'xie'huo'chu'fan 泻火除烦
'xie'shui'zhu'yin 泻水逐饮
'xie'xia'gong'ji 泻下攻积
'xie'xia'yao 泻下药
'xin'yi 辛夷
'xing'qi'zhi'tong 行气止痛
'xuan'fei 宣肺
'xuan'shen 玄参
'xue'zhong'qi'yao 血中气药
'yan'hu'suo 延胡索
'yang'xin'yi'gan 养心益肝
'yang'xue'bu'xin 养血补心
'yang'xue'lian'yin 养血敛阴
'yang'yin'qing'fei 养阴清肺
'yang'yin'run'fei 养阴润肺
'yi'jing'tian'sui 益精填髓
'yi'jing'xue 益精血
'yi'mu'cao 益母草
'yi'qi'sheng'jin 益气生津
'yi'shen'jian'gu 益肾健骨
'yi'wei'gu'biao 益卫固表
'yi'wei'sheng'jin 益胃生津
'yi'yi'ren 薏苡仁
'yin'chen 茵陈
'yin'huo'gui'yuan 引火归元
'yin'yang'huo 淫羊藿
'yu'jin 郁金
'yuan'zhi 远志
'zao'shi'hua'tan 燥湿化痰
'zao'shi'jian'pi 燥湿健脾
'zao'shi'li'shui 燥湿利水
'zao'shi'xiao'tan 燥湿消痰
'zao'shi'zhi'dai 燥湿止带
'ze'xie 泽泻
'zhe'bei'mu 浙贝母
'zhi'han 止汗
'zhi'jing 止痉
'zhi'ke'ping'chuan 止咳平喘
'zhi'mu 知母
'zhi'ru'wan'san 只入丸散
'zhi'shi 枳实
'zhi'suan'zhi'tong 制酸止痛
'zhi'tong 止痛
'zhi'xue 止血
'zhi'xue'yao 止血药
'zhi'zi 栀子
'zhong'zhen'an'shen 重镇安神
'zhu'sha 朱砂
'zhu'yang'hua'qi 助阳化气
'zhu'yang'zhi'xie 助阳止泻
'zhu'yu'tong'jing 逐瘀通经
'zi'su'geng 紫苏梗
'zi'su'ye 紫苏叶
'zi'su'zi 紫苏子
'zi'yin 滋阴
'zi'yin'qian'yang 滋阴潜阳
