'sha'yi'bo'dong 杀意波动
'shan'zi 扇子
'shang'duan 上段
'shang'qiang 上墙
'shen'hong'du'she 深红毒蛇
'shen'long'lie'po 神龙烈破
'sheng'long 升龙
'shou'zhao 收招
'shu'ting 舒婷
'shua'jian 刷键
'shuang'xi'bao 双膝爆
'shui'guo'tan'lao'tou 水果摊老头
'shun'yi 瞬移
'shun'yu'sha 瞬狱杀
'si'jiu 四酒
'suo'hou'kou 锁喉扣
'tan'shou 摊手
'te'rui 特瑞
'te'shu'ji 特殊技
'tian'sheng'tui 天升腿
'tiao'qing'jiao 跳轻脚
'tiao'qing'quan 跳轻拳
'tiao'qing'tui 跳轻腿
'tiao'zhong'jiao 跳中脚
'tiao'zhong'jiao 跳重脚
'tiao'zhong'quan 跳中拳
'tiao'zhong'quan 跳重拳
'tiao'zhong'tui 跳中腿
'tiao'zhong'tui 跳重腿
'tong'yong 通用
'tou'chui 头槌
'tou'ji 投技
'tui'ban 推板
'tui'zhang 推掌
'wa'wa 娃娃
'wan'gong'tui 挽弓腿
'wei'jia 维加
'wu'di'zhen 无敌帧
'wu'ze 无责
'xi'bo'li'ya'gao'tie 西伯利亚高铁
'xi'bo'li'ya'kuai'che 西伯利亚快车
'xia'duan 下段
'xia'duan'bo 下段波
'xian'gu'zhou 仙姑肘
'xiang'bin'lian 香槟连
'xiao'sang 小桑
'xing'yun'liu'shui 行云流水
'xiong'ying'fei'ti 雄鹰飞踢
'xiu'zheng 修正
'xu'dian 蓄电
'xu'feng 蓄风
'xu'huo 蓄火
'xu'li 蓄力
'xu'li'shan 蓄力扇
'xuan'feng'tui 旋风腿
'xun'lei'tui 迅雷腿
'ya'qi'shen 压起身
'yan'chi 延迟
'yan'chi'chai 延迟拆
'yang'yan'zhi'wu 阳炎之舞
'yi'jiu 一酒
'yi'qi 一气
'ying'sheng 影升
'ying'zhi 硬直
'you'li 有利
'yu'jia 瑜伽
'yuan'shen 猿神
'yuan'shen'qi'dong 猿神启动
'yue'ya'cha'pao 月牙叉炮
'zei'mi 贼米
'zhan'qing'jiao 站轻脚
'zhan'qing'quan 站轻拳
'zhan'qing'tui 站轻腿
'zhan'sha'lian 斩杀连
'zhan'zhong'jiao 站中脚
'zhan'zhong'jiao 站重脚
'zhan'zhong'quan 站中拳
'zhan'zhong'quan 站重拳
'zhan'zhong'tui 站中腿
'zhan'zhong'tui 站重腿
'zhen'sheng'long'quan 真升龙拳
'zhen'shu 帧数
'zhen'shu'xian'jing 帧数陷阱
'zheng'yao 正摇
