'an'gou 暗沟
'di'biao'shui'shui'liu'wei'hai 地表水水流危害
'di'ji'ceng'ding'mian 底基层顶面
'di'ji'gu'jie 地基固结
'di'ji'liang'shi'hui'wen'ding'xi'li'tu 低剂量石灰稳定细粒土
'di'ji'liang'shui'ni 低剂量水泥
'di'ji'liang'shui'ni'wen'ding'li'liao 低剂量水泥稳定粒料
'di'mian'ji'shui'shui'wei 地面积水水位
'di'mian'pai'shui 地面排水
'di'mian'yi'xia 地面以下
'di'wen'kang'lie'xing 低温抗裂性
'di'xia'gou'zhu'wu'zhou'wei'tu'ti'ruan'hua 地下构筑物周围土体软化
'di'xia'pai'shui 地下排水
'di'xia'pai'shui'gou'zhu'wu 地下排水构筑物
'di'xia'she'shi 地下设施
'di'xia'shen'shui 地下渗水
'di'xia'shui'fen'lei 地下水分类
'di'xia'shui'fen'lei'yu'shui'tu'zuo'yong 地下水分类与水土作用
'di'xia'shui'he'di'biao'shui'de'kong'zhi 地下水和地表水的控制
'di'xia'shui'kong'zhi 地下水控制
'di'xia'shui'wei 地下水位
'di'xia'shui'wei'gao 地下水位高
'di'xia'shui'wei'hai 地下水危害
'di'xia'shui'yun'dong'gui'lv 地下水运动规律
'dian'ceng 垫层
'dian'ceng'ji'ceng'cai'liao 垫层基层材料
'dian'ceng'she'zhi 垫层设置
'dian'ceng'xing'neng'zhu'yao'zhi'biao 垫层性能主要指标
'dian'ceng'xuan'yong'cai'liao 垫层选用材料
'dian'shou'duan 电手段
'dong'li'gu'jie 动力固结
'dong'li'gu'jie'xiao'ying 动力固结效应
'dong'shen'jiao'da 冻深较大
'dong'ying'li 动应力
'dong'zhang 冻胀
'dong'zhang'yu'fang 冻胀预防
'duan'shang 断伤
'dun'gou'fa'sui'dao'shi'gong 盾构法隧道施工
'duo'yu'chao'shi'di'qu 多雨潮湿地区
'duo'yu'di'qu 多雨地区
'er'lei'tu 二类土
'er'yang'hua'tan'shi'fang 二氧化碳释放
'fa'sui'dao'shi'gong 法隧道施工
'fan'jiang 翻浆
'fan'jiang'yu'fang 翻浆预防
'fan'zhong'jiao'tong 繁重交通
'fan'zhong'jiao'tong'lu'duan 繁重交通路段
'fang'dong'ceng'hou'du 防冻层厚度
'fang'dong'dian'ceng 防冻垫层
'fang'fu'chu'li 防腐处理
'fang'hu'cuo'shi 防护措施
'fang'hua'ceng 防滑层
'fang'shui'ceng 防水层
'fang'shui'tu'gong'zhi'wu 防水土工织物
'fei'ji'dong'che'dao 非机动车道
'fen'bu'fan'wei 分布范围
'fen'bu'guang 分布广
'fen'mei'hui 粉煤灰
'fen'tu 粉土
'fen'tu'hun'luan'sui'shi 粉土混卵碎石
'fen'zhi'nian'tu 粉质黏土
'fu'he'di'ji 复合地基
'fu'he'lu'ji 复合路基
'fu'shi 复试
'fu'shu'gou'zhu'wu'fang'shui 附属构筑物防水
'fu'wu'gong'neng 服务功能
