'an'gou 暗沟
'shi'zheng'gong'yong'gong'cheng'qi'ye'zi'zhi 市政公用工程企业资质
'shu'gan'cuo'shi 疏干措施
'shu'shi'xing 舒适性
'shu'song'zhong'zhi'tu 疏松种植土
'shu'xiang'li 竖向力
'shu'xiang'pai'shui'ti 竖向排水体
'shu'zhi'lei 树脂类
'shui'cheng'yan'lei'ji'zhi'sha 水成岩类机制砂
'shui'ni 水泥
'shui'ni'hun'ning'tu'lu'mian 水泥混凝土路面
'shui'ni'hun'ning'tu'lu'mian'jie'gou'zu'cheng'te'dian 水泥混凝土路面结构组成特点
'shui'ni'wen'ding'li'liao 水泥稳定粒料
'shui'ni'wen'ding'sui'shi'ji'ceng 水泥稳定碎石基层
'shui'ni'wen'ding'tu'lei'ji'ceng 水泥稳定土类基层
'shui'ni'wen'ding'xi'li'tu 水泥稳定细粒土
'shui'ping'li 水平力
'shui'tou'gao'du 水头高度
'shui'tu'zuo'yong 水土作用
'shui'wei'bian'hua 水位变化
'shui'wei'hai 水危害
'shui'wen'di'zhi'tiao'jian'bu'liang 水文地质条件不良
'shui'wen'di'zhi'yin'su 水文地质因素
'shui'wen'ding'xing 水稳定性
'shui'wen'xing 水稳性
'shui'wen'yin'su 水文因素
'shui'yu'tu'ti'xiang'hu'zuo'yong 水与土体相互作用
'si'lei'tu 四类土
'song'ruan'tu 松软土
'song'sha 松砂
'su'liao'ban 塑料板
'su'liao'pai'shui'ban'yu'ya 塑料排水板预压
'su'tu 素土
'su'tu'dian'ceng 素土垫层
'su'xian 塑限
'su'xing'xia'xian 塑性下限
'su'xing'zhi'shu 塑性指数
'su'xing'zhi'shu'bi'zhi 塑性指数比值
'sui'li'shi 碎砾石
'sui'li'shi'lu'mian 碎砾石路面
'sui'shi 碎石
'sui'shi'li'jing 碎石粒径
'sui'shi'tu 碎石土
'sui'shi'zhuang 碎石桩
'tan'pu 摊铺
'te'jian'shi 特坚石
'te'shu'lu'ji'chu'li 特殊路基处理
'te'shu'tu'lu'ji 特殊土路基
'te'zhong'jiao'tong 特重交通
'te'zhong'jiao'tong'deng'ji 特重交通等级
'ti'ji'bian'xing 体积变形
'tian'feng'cai'liao 填缝材料
'tian'ran'di'ji'yu'ya 天然地基预压
'tian'ran'han'shui'lv'yu'su'xian'cha'zhi 天然含水率与塑限差值
'tian'ran'ji'pei'sha'shi 天然级配砂石
'tian'ran'mi'du 天然密度
'tian'ran'sha'li 天然砂砾
'tian'ran'shi'cai'lu'mian 天然石材路面
'tian'shi'lu'ji 填石路基
'tian'tu 填土
'tou'shui'ji'ceng 透水基层
'tou'shui'xing 透水性
'tu'dan'wei'ti'ji'zhi'liang 土单位体积质量
'tu'de'bu'qiang 土的补强
'tu'de'zhi'huan 土的置换
'tu'fang'lu'ji 土方路基
'tu'gong'zhi'wu 土工织物
'tu'ke'li'kong'xi 土颗粒孔隙
'tu'kong'xi'ti'ji 土孔隙体积
'tu'lei'cai'liao 土类材料
'tu'li'ti'ji 土粒体积
'tu'ti'ji 土体积
'tu'ti'kong'xi'jian'shao 土体孔隙减少
'tu'ti'qiang'du 土体强度
'tu'yan'zi'hua 土盐渍化
'tu'zhi'gai'liang 土质改良
'tu'zhi'lu'qian 土质路堑
'tu'zhong'shui'xing'tai 土中水形态
'tu'zhong'shui'zhi'liang 土中水质量
'wai'jia'ji 外加剂
'wei'chu 未处
'wei'hai'yin'su 危害因素
'wei'shai'fen'sui'shi 未筛分碎石
'wen'ban'li'qing'mian'ceng 温拌沥青面层
'wen'ding 稳定
'wen'ding'jian'shi'ji'chu 稳定坚实基础
'wen'ding'xing'jiang'di 稳定性降低
'wen'ding'xing'ti'sheng 稳定性提升
'wen'du'bian'hua 温度变化
'wen'du'wen'ding'xing 温度稳定性
'wu'feng'hua 无风化
'wu'fu'shi 无腐蚀
'wu'ji'jie'he'liao'wen'ding'li'liao 无机结合料稳定粒料
'wu'ji'jie'he'wen'ding'li'liao 无机结合稳定粒料
'wu'lei'tu 五类土
'xi'chang'ke'li 细长颗粒
'xi'du'mo'shu 细度模数
'xi'ji'liao 细集料
'xi'ji'pei'xing 细级配型
'xi'ke'li'han'liang'kong'zhi 细颗粒含量控制
'xi'shi'ruan'hua 吸湿软化
'xi'zhe'shui 吸着水
'xia'chuan'shi'zheng'guan'xian'lu'duan 下穿市政管线路段
'xia'ji'ceng 下基层
'xian'lu'zhong'xian 线路中线
'xiang'guan'biao'zhun 相关标准
'xiang'guan'fa'gui 相关法规
'xiang'guan'qiang'zhi'xing'biao'zhun'de'gui'ding 相关强制性标准的规定
'xiang'jiao'li'qing'lei 橡胶沥青类
'xiao'ban'jing'ping'qu'xian 小半径平曲线
'xiao'xing'ji'ju'shi'gong 小型机具施工
'xing'che'an'quan'xing 行车安全性
'xing'che'ping'shun 行车平顺
'xing'che'zuo'yong 行车作用
'xing'neng'wen'ding 性能稳定
'xing'neng'yao'qiu 性能要求
'xing'ren'an'quan'xing 行人安全性
'xiu'shi 锈蚀
'xun'su'pai'shui 迅速排水
'ya'cao 压槽
'ya'shi'tian'tu 压实填土
'ya'shi'yuan'li 压实原理
'yan'shi'kong'xi 岩石孔隙
'yan'shi'lu'ji 岩石路基
'yan'xian'di'xia'shui'lei'xing 沿线地下水类型
'yan'zi'tu 盐渍土
'ye'tai 液态
'ye'tai'shui 液态水
'ye'xian 液限
'ye'xian'yu'su'xian'cha'zhi 液限与塑限差值
'ye'xing'shang'xian 液性上限
'ye'xing'zhi'shu 液性指数
'yi'ci'pu'zhu'kuan'du 一次铺筑宽度
'yi'ci'tan'pu'kuan'du 一次摊铺宽度
'yi'lei'tu 一类土
'ying'li'ji'suan 应力计算
'ying'su'zhuang'tai 硬塑状态
'ying'xiang'zui'da 影响最大
'you'ji'zhi'xi'li'tu 有机质细粒土
'yu'ni 淤泥
'yu'shui'kou 雨水口
'yu'shui'kou'zhou'wei 雨水口周围
'yu'zhi'hun'ning'tu'qi'kuai'lu'mian 预制混凝土砌块路面
'yuan'you'lu'ji'li'yong 原有路基利用
'yun'xing'an'quan 运行安全
'yun'xing'wei'hu 运行维护
'za'tian'tu 杂填土
'zao'sheng'liang 噪声量
'zeng'jia'lu'ji'tu'mi'du 增加路基土密度
'zhang'feng 胀缝
'zhang'feng'ban 胀缝板
'zhang'suo 胀缩
'zhang'suo'feng'wei'zhi 胀缩缝位置
'zhen'chong'ji'mi 振冲挤密
'zhen'chong'zhi'huan 振冲置换
'zhen'dong'ji'mi 振动挤密
'zhen'dong'ya'shi 振动压实
'zhen'kong'yu'ya 真空预压
'zheng'fang'xing'ban'kuai 正方形板块
'zheng'ping'ceng 整平层
'zheng'qi 蒸汽
'zheng'ti'wen'ding'xing 整体稳定性
'zheng'ti'xing'hao 整体性好
'zhi'cheng'jie'gou'wu 支撑结构物
'zhi'di'jian'ying 质地坚硬
'zhi'huan'di'ji'biao'ceng'ruan'ruo'tu 置换地基表层软弱土
'zhi'huan'ruan'ruo'tu'di'ji'bu'fen'ruan'ruo'tu 置换软弱土地基部分软弱土
'zhi'liang'ce'hua 质量策划
'zhi'lu 支路
'zhong'chui'hang'shi 重锤夯实
'zhong'fen'zhi'nian'tu 重粉质黏土
'zhong'jiao'tong 中交通
'zhong'jiao'tong 重交通
'zhong'jiao'tong'dao'lu 重交通道路
'zhong'jiao'tong'deng'ji 重交通等级
'zhong'jiao'tong'yi'shang'deng'ji'dao'lu 重交通以上等级道路
'zhong'li'shui 重力水
'zhong'qing'jiao'tong'dao'lu 中轻交通道路
'zhong'sha 中砂
'zhong'shi'lu'duan 中湿路段
'zhong'shi'zhuang'tai 中湿状态
'zhong'xia'mian'ceng 中下面层
'zhong'zhi'tu 种植土
'zhou'zai'zhong 轴载重
'zhu'gan'lu 主干路
'zhu'shi'liao'ceng'hou'du 主石料层厚度
'zhu'ti'jie'gou'an'quan 主体结构安全
'zhu'yao'yuan'cai'liao'xuan'ze 主要原材料选择
'zhuan'men'ji'shu'cuo'shi 专门技术措施
'zi'ran'yin'su 自然因素
'zi'you'bian'chu 自由边处
'zong'hou'du 总厚度
'zong'xiang'jie'feng 纵向接缝
'zong'xiang'shi'gong'feng 纵向施工缝
'zong'xiang'suo'feng 纵向缩缝
'zuan'bao'fa'sui'dao'shi'gong 钻爆法隧道施工
'zui'chi'jiu 最持久
'zui'da'gong'cheng'li'jing 最大公称粒径
'zui'da'li'jing 最大粒径
'zuo'yong 作用
'zuo'yong'ji'li 作用机理
'zuo'yong'yuan'li 作用原理
