'tie'kuang'shi'yun'shu 铁矿石运输
'tuo'liu'zhuang'zhi 脱硫装置
'wang'ji'fu'jia'fei 旺季附加费
'wu'chuan'cheng'yun'ren 无船承运人
'wu'ren'li'huo 无人理货
'xi'cang'fei 洗舱费
'xi'cang'zuo'ye 洗舱作业
'xie'huo'gang 卸货港
'xin'chuan'ding'zao 新船订造
'xun'zheng'zheng'shu 熏蒸证书
'ya'zai'shui'zhi'huan 压载水置换
'yi'qie'xian 一切险
'ying'xiao'tui'guang 营销推广
'yuan'mu'yun'shu 原木运输
'yun'fei'jie'suan 运费结算
'yun'jia'tan'pan 运价谈判
'yun'jia'zhi'shu 运价指数
'yun'li'duan'que 运力短缺
'yun'li'guo'sheng 运力过剩
'yun'li'tiao'pei 运力调配
'yun'shu 运输
'zai'zhong'dun 载重吨
'zai'zhong'xian'biao'zhi 载重线标志
'zhi'da'hang'xian 直达航线
'zhi'neng'gang'kou 智能港口
'zhi'qi'fei 滞期费
'zhi'qi'fei'ji'suan 滞期费计算
'zhi'qi'tong'zhi 滞期通知
'zhi'shu 指数
'zhong'xiang'yun'shu 重箱运输
'zhong'zhuan'gang 中转港
'zhong'zhuan'yun'shu 中转运输
'zhuang'huo'gang 装货港
'zhuang'xie'ji'lu 装卸记录
'zhuang'xie'she'bei 装卸设备
'zhuang'xie'shi'jian 装卸时间
'zhuang'xie'shi'jian'biao 装卸时间表
'zhuang'xie'xiao'lv 装卸效率
'zhuang'xie'xiao'lv'ping'gu 装卸效率评估
'zu'chuan'he'tong 租船合同
'zu'chuan'xun'jia 租船询价
