'chao'fen'cheng'xiang 超分成像
'da'ping 打屏
'dai'zai 带载
'di'hui 低灰
'dian'ding'wei 点定位
'duo'ping'guan'li 多屏管理
'fa'song'ka 发送卡
'fen'bian'lv 分辨率
'guang'tong'liang 光通量
'gui'ying 鬼影
'hui'du 灰度
'ji'lian 级联
'jiao'zheng 校正
'jie'shou'ka 接收卡
'nuo'wa'xing'yun 诺瓦星云
'ping'ti 屏体
'qi'pan'ge 棋盘格
'shu'ju'zu 数据组
'xi'an 西安
'xiao'yin'deng'ji 消隐等级
'xie'sao 斜扫
'ying'jian'da'ping 硬件打屏
'zhen'lv 帧率
