'chen'se'zou'jing'feng 晨色奏景风
'chen'xi'kan'shan'chuan 晨夕看山川
'chen'xin'er'yan 称心而言
'chen'xin'gu'wei'hao 称心固为好
'chen'xing'li'huang'hui 晨兴理荒秽
'chen'yao'qi'hua 晨耀其华
'chen'yin'ni'xun'she 沉阴拟薰麝
'chen'zhi'bu'neng'qi 晨止不能起
'cheng'ming'you'bu'qin 成名犹不勤
'cheng'yuan'you'kun'hua 诚愿游崑华
'chi'chi'chu'lin'he 迟迟出林翮
'chi'chi'jiang'hui'bu 迟迟将回步
'chi'ci'gan'ren'duo 持此感人多
'chi'ci'yu'he'cheng 持此欲何成
'chi'quan'gei'wo'yin 赤泉给我饮
'chi'yu'si'gu'yuan 池鱼思故渊
'chong'hua'gu'ling'fen 重华固灵坟
'chong'hua'qu'wo'jiu 重华去我久
'chong'hua'wei'zhi'lai 重华为之来
'chong'shu'zuo'mei'jiu 舂秫作美酒
'chou'chang'nian'chang'can 惆怅念常飡
'chou'ding'chai'sang 酬丁柴桑
'chou'liu'chai'sang 酬刘柴桑
'chou'ren'nan'wei'ci 愁人难为辞
'chou'xi'jia'shang'jing 畴昔家上京
'chou'xi'ku'chang'ji 畴昔苦长饥
'chu'gao'you'chang'wen 刍藁有常温
'chu'men'wan'li'ke 出门万里客
'chu'yu'jun'bie'shi 初与君别时
'chu'ze'pei'wen'yu 出则陪文舆
'chun'bo'ji'yi'yuan 淳薄既异源
'chun'can'ji'wu'shi 春蚕既无食
'chun'can'shou'chang'si 春蚕收长丝
'chun'feng'shan'wei'he 春风扇微和
'chun'lao'du'fu 春醪独抚
'chun'lao'jie'ji'qu 春醪解饥劬
'chun'lao'sheng'fu'yi 春醪生浮蚁
'chun'qiu'duo'jia'ri 春秋多佳日
'chun'xing'qi'zi'mian 春兴岂自免
'chun'yan'ying'jie'qi 春燕应节起
'ci'jia'su'yan'jia 辞家夙严驾
'ci'li'jiang'bu'sheng 此理将不胜
'ci'mu'chen'ai'jiu 慈母沉哀疚
'ci'qing'jiu'yi'li 此情久已离
'ci'ren'jie'yan'ru 此人皆焉如
'ci'sheng'qi'zai'zhi 此生岂再值
'ci'shi'hu'du'ran 此士胡独然
'ci'shi'nan'zai'de 此士难再得
'ci'shi'zhen'fu'le 此事真复乐
'ci'tong'ji'nan'chang 此同既难常
'ci'xin'shao'yi'qu 此心稍已去
'ci'xing'shui'shi'ran 此行谁使然
'ci'ye'tu'neng'bian 赐也徒能辩
'ci'yi'fei'chang'shen 此已非常身
'ci'yin'du'bu'shuai 此荫独不衰
'ci'yu'zhen'bu'xu 此语真不虚
'ci'zhong'you'zhen'yi 此中有真意
'cong'ci'yi'zhi'qu 从此一止去
'cong'dou'hai'zu'feng'yu'gui'lin'er'shou 从都还阻风于规林二首
'cong'gu'jie'you'mei 从古皆有没
'cong'jin'zhi'sui'han 从今至岁寒
'cong'lai'jiang'qian'zai 从来将千载
'cong'wo'ying'shui'bin 从我颍水滨
'cong'yan'ming'yun'xiao 丛雁鸣云霄
'cu'chi'yi'ying'yang 麤絺以应阳
'cu'nian'ji'liu 徂年既流
'cu'xi'yan'gu'lao 促席延故老
'cun'sheng'bu'ke'yan 存生不可言
'da'fan'you'ming 大藩有命
'da'huan'zhi'zhi'zi 大欢止稚子
'da'jun'wu'si'li 大钧无私力
'da'pang'can'jun 答庞参军
'da'ren'jie'qi'hui 达人解其会
'da'shi'si'bu'er 达士似不尔
'da'shu'han'qie'ge 达曙酣且歌
'da'xiang'zhuan'si'shi 大象转四时
'da'yan'nei'jiu 怛焉内疚
'dai'geng'ben'fei'wang 代耕本非望
'dai'xie'gui'bei'xiang 代谢归北乡
'dai'yue'he'chu'gui 带月荷锄归
'dan'dan'han'bo'sheng 淡淡寒波生
'dan'dao'sang'ma'chang 但道桑麻长
'dan'gu'shi'jian'ming 但顾世间名
'dan'guan'cheng'tong'jin 弹冠乘通津
'dan'guan'zuo'ming'zhou 弹冠佐名州
'dan'hen'duo'miu'wu 但恨多谬误
'dan'hen'shu'shi 但恨殊世
'dan'hen'zai'shi'shi 但恨在世时
'dan'ju'shi'wo'yi 但惧时我遗
'dan'mi'li'yu'li 但觅梨与栗
'dan'mu'sheng'he'xu 丹木生何许
'dan'piao'xie'lv'she 箪瓢谢屡设
'dan'shi'yuan'wu'wei 但使愿无违
'dan'wei'ren'wo'qi 但畏人我欺
'dan'yan'xu'zhi 淡焉虚止
'dan'yu'ping'sheng'wu 但馀平生物
'dan'yuan'bao'jing'liang 但愿饱粳粮
'dan'yuan'chang'ru'ci 但愿长如此
'dang'dang'kong'zhong'jing 荡荡空中景
'dang'fu'he'ji'zai 当复何及哉
'dang'fu'ru'ci'bu 当复如此不
'dang'nian'jing'wei'jian 当年竟未践
'dang'nian'ju'you'ji 当年讵有几
'dang'shi'shu'lai'zhi 当时数来止
'dang'shu'yan'han'yi 当暑厌寒衣
'dang'wang'zhi'wu'zhong 当往至无终
'dao'lu'jiong'qie'chang 道路迥且长
'dao'lu'miao'he'yin 道路邈何因
'dao'sang'xiang'qian'zai 道丧向千载
'dao'shang'wang'zi'kai 倒裳往自开
'dao'sheng'wu'qi'yan 道胜无戚颜
'dao'xia'cao'mu'zhang 道狭草木长
'de'huan'dang'zuo'yue 得欢当作乐
'de'jiu'mo'gou'ci 得酒莫苟辞
'de'shi'bu'fu'zhi 得失不复知
'de'zhi'qian'zai'wai 得知千载外
'deng'che'he'shi'gu 登车何时顾
'deng'gao'fu'xin'shi 登高赋新诗
'deng'gao'jian'jiang'gui 登高饯将归
'deng'jiang'qian'li'yu 登降千里馀
'di'wei'han'ren'yuan 地为罕人远
'di'zhe'shen'yong'cai 帝者慎用才
'ding'ding'bai'nian'nei 鼎鼎百年内
'dong'fang'you'yi'shi 东方有一士
'dong'le'qin'shu 董乐琴书
'dong'nei'gu'chan'ji 冻馁固缠己
'dong'xia'chang'ru'zi 冬夏常如兹
'dong'yu'wei'lin 栋宇唯邻
'dong'yuan'zhi'shu 东园之树
'dou'jiu'ju'bi'lin 斗酒聚比邻
'dou'jiu'san'jin'yan 斗酒散襟颜
'du'fu'bu'ru'zi 独复不如兹
'du'men'bu'fu'chu 杜门不复出
'du'shan'hai'jing'shi'san'shou 读山海经十三首
'du'shu'zhong'nai'qi 独树众乃奇
'duo'duo'su'zhong'yu 咄咄俗中愚
'duo'xie'qi'yu'lu 多谢绮与甪
'duo'xie'zhu'shao'nian 多谢诸少年
'e'e'xi'ling'nei 峨峨西岭内
'en'ai'ruo'tong'sheng 恩爱若同生
'er'bu'ai'wen'shu 而不爱文术
'er'jin'ke'de 而近可得
'er'shu'fu'ci'ju 二疏复此举
'er'wu'che'ma'xuan 而无车马喧
'er'yi'qiu'zi'an 而以求自安
'er'yin'cai'shu'ling 二胤才数龄
'er'zhi'bu'cai 尔之不才
'fa'sui'shi'fu'yang 发岁始俛仰
'fa'yan'ge'bu'ling 发言各不领
'fan'bai'you'xin 凡百有心
'fan'ci'wang'you'wu 泛此忘忧物
'fan'he'qiu'xin 翻翮求心
'fan'hua'chao'qi 繁华朝起
'fan'lan'zhou'wang'chuan 泛览周王传
