'an'xiang'dang'chu 暗想当初
'an'xiang'fu'dong'yue'huang'hun 暗香浮动月黄昏
'an'xiang'hun 黯乡魂
'an'xiang'shu'ying 暗香疏影
'an'xiang'si 暗相思
'an'xiang'wang 黯相望
'an'xiao'ji'xue 暗消肌雪
'an'xiao'ning 黯消凝
'an'xu'xian'ren'dai'tou'qia 暗许闲人带偷掐
'an'yi 安邑
'an'yi'huan'qi'zhen'si'meng 暗忆欢期真似梦
'an'yu'huai'huang 暗雨槐黄
'an'yu'zhi'xiang'mi 安与之相靡
'an'zai'qi'bu'ru'ye 安在其不辱也
'an'zhao'cha'ji 案兆察迹
'an'zhi'jin'qian'bu'yuan'ren 暗掷金钱卜远人
'an'zhi'zhan 鞍之战
'an'zhu'tang 岸竹堂
'an'zhu'wu'chou 暗主无愁
'an'zhui'qian'shi 暗追前事
'ang'xu'wo'you 卬须我友
'ao'sou 聱叟
'ao'tou'xiao'cu'xing'chun'dui 遨头小簇行春队
'ao'wei 媪围
'ba'ai 八哀
'ba'ai'shi 八哀诗
'ba'ba 巴把
'ba'bai'li'fen'hui'xia'jiu 八百里分麾下灸
'ba'bai'li'fen'hui'xia'zhi 八百里分麾下炙
'ba'bao'zhuang 八宝妆
'ba'ben'sai'yuan 拔本塞源
'ba'bi'you'da'guo 霸必有大国
'ba'biao'zi'zhou'xuan 八表恣周旋
'ba'bu 巴卜
'ba'cheng'lin'da'mo 八城临大漠
'ba'chi'lang'dang'wu'se'zu 八尺锒铛五色组
'ba'chi'ting'zhong'shi'nong'ying 八尺庭中时弄影
'ba'chu'gong'zhong'zhi'shu'er'wu'a'si 拔出公忠之属而无阿私
'ba'chuan'ji'shui'ji'min'e 巴川积水极岷峨
'ba'chun'bo'dou'niang'zuo 把春波都酿作
'ba'dan 巴旦
'ba'dan'ya'lan 巴旦亚兰
'ba'dao'yue'jun 霸道悦君
'ba'dao'yue'ma'men'qian'lu 拔刀跃马门前路
'ba'diao 八貂
'ba'dong'qiu'qi'zao 巴东秋气早
'ba'duo'luo'mai 巴多罗买
'ba'fang'wu'yu'li'quan'chu 八方无虞醴泉出
'ba'geng 八庚
'ba'gu'wen 八股文
'ba'guan'zuo'ri'jin'ru'he 罢官昨日今如何
'ba'gui 八归
'ba'guo'you'yu'ye 霸国犹余业
'ba'ha'bu 巴哈布
'ba'ha'mo'ya 巴哈摩押
'ba'hu'lin 巴户琳
'ba'hu'qi'cui 拔乎其萃
'ba'jia'jie'si'bai'mu 八家皆私百亩
'ba'jian'mi'xu'jun 把剑觅徐君
'ba'jian'na'zhi'bao'yuan'nan 拔剑哪知报怨难
'ba'jian'qi'hao'lai 拔剑起蒿莱
'ba'jian'qie'er'dan'zhi 拔剑切而啖之
'ba'jian'si'gu'xin'mang'ran 拔剑四顾心茫然
'ba'jian'zhuang'er'po'zhi 拔剑撞而破之
'ba'jiang'qing'qie'shi 巴江清且驶
'ba'jiao'bu'zhan'ding'xiang'jie 芭蕉不展丁香结
'ba'jiao'ye'da'zhi'zi'fei 芭蕉叶大栀子肥
'ba'jiao'yu 芭蕉雨
'ba'jie'tong'huan 八节同欢
'ba'jie'zhai 八节斋
'ba'ju'er'bu'shi'qi'neng 拔举而不失其能
'ba'ju'jie'dui 八句皆对
'ba'ju'jing'bu'ke'duan 八句竟不可断
'ba'jun 巴郡
'ba'jun'mu'wang'qiu'se'yuan 八骏穆王秋色远
'ba'jun'qiu'mi'niao'dao'qing 八骏秋迷鸟道青
'ba'jun'ri'xing'san'wan'li 八骏日行三万里
'ba'jun'zhou'jing'ma 八骏周京马
'ba'kou'zhi'jia'ke'yi'wu'ji'yi 八口之家可以无饥矣
'ba'la 巴拉
'ba'la'ba 巴拉巴
'ba'la'bi'er 巴拉比珥
'ba'la'dan 巴拉但
'ba'la'di 巴拉迪
'ba'la'jia 巴拉加
'ba'la'jia 巴拉迦
'ba'la'you'da 巴拉犹大
'ba'le'ha'nan 巴勒哈南
'ba'li'ha'men 巴力哈们
'ba'li'hei'men 巴力黑们
'ba'li'jia'de 巴力迦得
'ba'li'mian 巴力免
'ba'li'pi'la'xin 巴力毗拉心
'ba'li'sha'li'sha 巴力沙利沙
'ba'li'xi'fen 巴力洗分
'ba'li'xia'suo 巴力夏琐
'ba'ling'dong'ting'he'chu'bian 巴陵洞庭何处边
'ba'ling'wu'xian'jiu 巴陵无限酒
'ba'ling'xi'lai'tuo'shui'shen 巴陵西来沱水深
'ba'ling'xian'ling'she'ren'xiong 巴陵县令舍人兄
'ba'ling'ya'jiu'dong'ting'chun 巴陵压酒洞庭春
'ba'ling'yi'wang'dong'ting'qiu 巴陵一望洞庭秋
'ba'liu'zi 八六子
'ba'ma'chui'yang'du 跋马垂杨渡
'ba'mo 巴末
'ba'mo'ba'li 巴末巴力
'ba'na 巴拿
'ba'nian'er'bu'zhi'si 八年而不知死
'ba'nian'qi'han 八年七旱
'ba'nv'ci 巴女词
'ba'nv'ming'zhuang'yan'qi'luo 巴女明妆艳绮罗
'ba'pai'man 八拍蛮
'ba'pin'san'guan 八品散官
'ba'qi 八齐
'ba'qian'li'lu'yun'he'yue 八千里路云和月
'ba'qian'sui'wei'qiu 八千岁为秋
'ba'qiao'zhe'luan'sheng 八窍者卵生
'ba'que'hu'lang'zhi'wei 罢却虎狼之威
'ba'ren'song'yu'tian 巴人讼芋田
'ba'ru'jiang'hai'ning'qing'guang 罢如江海凝清光
'ba'sa'ba 巴撒巴
'ba'sai 八塞
'ba'sha 巴沙
'ba'shan 巴珊
'ba'shan'chu'shui'qi'liang'de 巴山楚水凄凉地
'ba'shan'dao'zhong'chu'ye'you'huai 巴山道中除夜有怀
'ba'shan'duan'ru'qin 巴山断入秦
'ba'shan'xue'xiao'jiang'shui'chang 巴山雪消江水长
'ba'shan'ye'yu'zhang'qiu'chi 巴山夜雨涨秋池
'ba'sheng'gan'zhou 八声甘州
'ba'shi 八石
'ba'shi 八识
'ba'shi'cang'lang'yi'lao'weng 八十沧浪一老翁
'ba'shi'hu'er 巴施户珥
'ba'shi'mo 巴实抹
'ba'shu 霸术
'ba'shui'liu'ruo'zi 巴水流若兹
'ba'shui'qu'wu'sheng 巴水去无声
'ba'si'er'jin'xing'dao'le 把似而今醒到了
'ba'sui'tou'zhao'jing 八岁偷照镜
'ba'wu'gou'kan'le 把吴钩看了
'ba'xi'lv 巴洗律
'ba'yang'ye'bo 巴阳夜泊
'ba'yin'xie 八音谐
'ba'yu'ci 巴渝辞
'ba'yue'bo'zao 八月剥枣
'ba'yue'chui'ge'huang 八月吹葛黄
